cd_ref	famille	nom_vern_invmmed	nom_taxon_invmed	nom_valide	date_intro	origine	milieux	categorie_paca	
"95983"	"Hydrocharitaceae"	"Élodée à feuilles étroites, Élodée de Nuttall"	"Elodea nuttallii (Planch.) H.St.John, 1920"	"Elodea nuttallii (Planch.) H.St.John, 1920"	"fin-XXe (1973)"	"Amérique du Nord"	"Eaux courantes ou stagnantes"	"Emergente"	
"95980"	"Hydrocharitaceae"	"Élodée du Canada"	"Elodea canadensis Michx., 1803"	"Elodea canadensis Michx., 1803"	"mi-XIXe (1845)"	"Amérique du Nord"	"Eaux courantes ou stagnantes"	"Emergente"	
"96098"	"Ephedraceae"	"Éphèdre élevé, Éphédra élevé"	"Ephedra altissima Desf., 1799"	"Ephedra altissima Desf., 1799"	""	"Afrique"	""	"Emergente"	
"126954"	"Commelinaceae"	"Éphémère de Rio"	"Tradescantia fluminensis Vell., 1829"	"Tradescantia fluminensis Vell., 1829"	"1938"	"Amérique du Sud"	"Berges et ripisylves ; Forêts et maquis ; Milieux anthropiques"	"Emergente"	
"717048"	"Fabaceae"	"Épine de kangourou"	"Acacia paradoxa DC., 1813"	"Acacia paradoxa DC., 1813"	"déb-XIXe (1803)"	"Océanie"	"Dunes côtières et plages de sable ; Milieux anthropiques"	"Alerte"	
"79766"	"Sapindaceae"	"Érable negundo, Érable frêne, Érable négondo"	"Acer negundo L., 1753"	"Acer negundo L., 1753"	"fin-XVIIe (1688)"	"Amérique du Nord"	"Berges et ripisylves ; Forêts et maquis"	"Majeure"	
"96644"	"Poaceae"	"Éragrostide verdissante"	"Eragrostis virescens J.Presl, 1830"	"Eragrostis virescens J.Presl, 1830"	"Non connue"	"Amérique du Sud"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Alerte"	
"96624"	"Poaceae"	"Éragrostis en peigne, Éragrostide en peigne"	"Eragrostis pectinacea (Michx.) Nees, 1841"	"Eragrostis pectinacea (Michx.) Nees, 1841"	"Non connue"	"Amérique du Nord"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Alerte"	
"96746"	"Asteraceae"	"Érigéron crépu, Vergerette d'Argentine"	"Erigeron bonariensis L., 1753 [syn. Conyza bonariensis (L.) Cronquist, 1943]"	"Erigeron bonariensis L., 1753"	"Non connue"	"Amérique du Nord"	"Dunes côtières et plages de sable ; Milieux agricoles ; Milieux anthropiques"	"Modérée"	
"97401"	"Myrtaceae"	"Eucalyptus, Gommier bleu"	"Eucalyptus globulus Labill., 1800"	"Eucalyptus globulus Labill., 1800"	"déb-XIXe (1828)"	"Océanie"	"Forêts et maquis"	"Alerte"	
"97527"	"Euphorbiaceae"	"Euphorbe à graines entaillées"	"Euphorbia glyptosperma Engelm., 1859"	"Euphorbia glyptosperma Engelm., 1859"	""	"Amérique du Nord"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Modérée"	
"611146"	"Euphorbiaceae"	"Euphorbe de David, Euphorbe dentée"	"Euphorbia davidii Subils, 1984"	"Euphorbia davidii Subils, 1984"	"XXe (1968)"	"Amérique du Nord"	"Milieux agricoles ; Milieux anthropiques"	"Modérée"	
"97571"	"Euphorbiaceae"	"Euphorbe de Jovet, Euphorbe maculée"	"Euphorbia maculata L., 1753 [syn. Chamaesyce maculata (L.) Small, 1903]"	"Euphorbia maculata L., 1753"	"dès 1600"	"Amérique du Nord"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Majeure"	
"97623"	"Euphorbiaceae"	"Euphorbe prostrée"	"Euphorbia prostrata Aiton, 1789 [syn. Chamaesyce prostrata (Aiton) Small, 1903]"	"Euphorbia prostrata Aiton, 1789"	""	"Amérique du Nord"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Modérée"	
"97666"	"Euphorbiaceae"	"Euphorbe rampante"	"Euphorbia serpens Kunth, 1817"	"Euphorbia serpens Kunth, 1817"	"1842"	"Amérique du Nord"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Modérée"	
"610602"	"Araceae"	"Faux-arum, Lysichiton américain, Arum bananier, Lysichite jaune"	"Lysichiton americanus Hultén & H.St.John, 1931"	"Lysichiton americanus Hultén & H.St.John, 1931"	"déb-XXe (1901)"	"Amérique du Nord"	"Berges et ripisylves ; Forêts et maquis ; Marais, tourbières, tufières ; Prairies humides"	"Prévention"	
"91012"	"Asteraceae"	"Faux chrysanthème"	"Chrysanthemoides monilifera (L.) Norl., 1943"	"Chrysanthemoides monilifera (L.) Norl., 1943"	"Non connue"	"Afrique"	"Côtes rocheuses et falaises ; Dunes côtières et plages de sable ; Forêts et maquis ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Alerte"	
"20000587"	"Asteraceae"	"Faux hygrophile"	"Gymnocoronis spilanthoides DC."	"Gymnocoronis spilanthoides DC."	"fin XXe (1988)"	"Amérique du Sud"	"Berges et ripisylves ; Eaux courantes ou stagnantes ; Marais, tourbières, tufières"	"Prévention"	
"82164"	"Fabaceae"	"Faux-indigo, Indigo du Bush, Amorphe buissonnante"	"Amorpha fruticosa L., 1753"	"Amorpha fruticosa L., 1753"	"déb-XVIIIe (1724)"	"Amérique du Nord"	"Berges et ripisylves ; Dunes côtières et plages de sable ; Milieux anthropiques"	"Majeure"	
"125107"	"Poaceae"	"Faux kikuyu, Sténotaphrum, Herbe de Saint-Augustin, Chiendent de bœuf"	"Stenotaphrum secundatum (Walter) Kuntze, 1891"	"Stenotaphrum secundatum (Walter) Kuntze, 1891"	"XXe (1940)"	"Afrique"	"Dunes côtières et plages de sable ; Milieux anthropiques"	"Emergente"	
"100330"	"Fabaceae"	"Févier d'Amérique"	"Gleditsia triacanthos L., 1753"	"Gleditsia triacanthos L., 1753"	""	"Amérique du Nord"	"Berges et ripisylves ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Alerte"	
"108389"	"Aizoaceae"	"Ficoide glaciale, Ficoïde à feuilles en coeur"	"Mesembryanthemum cordifolium L.f., 1782 [syn. Aptenia cordifolia (L.f.) Schwantes, 1928]"	"Mesembryanthemum cordifolium L.f., 1782"	""	"Afrique"	"Côtes rocheuses et falaises ; Dunes côtières et plages de sable ; Milieux anthropiques"	"Emergente"	
"994567"	"Aizoaceae"	"Ficoïde (hybride cordifolia x haeckeliana)"	"Mesembryanthemum cordifolium x Mesembryanthemum haeckelianum [syn. Aptenia cordifolia x Aptenia haeckeliana]"	"Mesembryanthemum cordifolium x Mesembryanthemum haeckelianum"	""	""	""	"Emergente"	
"110758"	"Cactaceae"	"Figuier de Barbarie, Figuier d'Inde"	"Opuntia ficus-indica (L.) Mill., 1768"	"Opuntia ficus-indica (L.) Mill., 1768"	"mi-XVIe (1548)"	"Amérique du Nord"	"Côtes rocheuses et falaises ; Milieux anthropiques"	"Modérée"	
"122993"	"Fabaceae"	"Flamboyant d'Hyères"	"Sesbania punicea (Cav.) Benth., 1859"	"Sesbania punicea (Cav.) Benth., 1859"	""	"Amérique du Sud"	"Berges et ripisylves ; Milieux anthropiques"	"Alerte"	
"94045"	"Dryopteridaceae"	"Fougère-houx, Aspidie en faux"	"Cyrtomium falcatum (L.f.) C.Presl, 1836"	"Cyrtomium falcatum (L.f.) C.Presl, 1836"	"Non connue"	"Asie"	"Berges et ripisylves ; Côtes rocheuses et falaises ; Milieux anthropiques"	"Alerte"	
"98958"	"Iridaceae"	"Freesia blanc"	"Freesia alba (G.L.Mey.) Gumbl., 1896"	"Freesia alba (G.L.Mey.) Gumbl., 1896"	"Non connue"	"Afrique"	"Côtes rocheuses et falaises ; Prairies, pelouses sèches et garrigues"	"Emergente"	
"98909"	"Oleaceae"	"Frêne blanc, Frêne d'Amérique"	"Fraxinus americana L., 1753"	"Fraxinus americana L., 1753"	""	""	""	"Alerte"	
"448138"	"Celastraceae"	"Fusain du Japon"	"Euonymus japonicus L.f., 1780"	"Euonymus japonicus L.f., 1780"	"déb-XIXe (1804)"	"Asie"	"Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Alerte"	
"99358"	"Asteraceae"	"Galinsoge à petites fleurs"	"Galinsoga parviflora Cav., 1795"	"Galinsoga parviflora Cav., 1795"	"fin-XVIIIe (1785)"	"Amérique du Sud"	"Milieux agricoles ; Milieux anthropiques"	"Alerte"	
"99359"	"Asteraceae"	"Galinsoge cilié"	"Galinsoga quadriradiata Ruiz & Pav., 1798 [syn. Galinsoga ciliata (Raf.) S.F.Blake, 1922 ; Galinsoga aristulata E.P.Bicknell, 1916]"	"Galinsoga quadriradiata Ruiz & Pav., 1798"	"fin-XVIIIe (1796)"	"Amérique du Sud"	"Milieux agricoles ; Milieux anthropiques"	"Alerte"	
"99700"	"Asteraceae"	"Gazania, Gazanie"	"Gazania rigens (L.) Gaertn., 1791"	"Gazania rigens (L.) Gaertn., 1791"	""	"Afrique"	"Côtes rocheuses et falaises ; Milieux anthropiques"	"Emergente"	
"105271"	"Fabaceae"	"Gesse de Tanger"	"Lathyrus tingitanus L., 1753"	"Lathyrus tingitanus L., 1753"	"/"	"Bassin méditerranéen"	"Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Alerte"	
"100542"	"Apocynaceae"	"Gomphocarpe, Faux cotonnier"	"Gomphocarpus fruticosus (L.) R.Br., 1809"	"Gomphocarpus fruticosus (L.) R.Br., 1809"	"XVIe"	"Afrique"	"Berges et ripisylves ; Milieux anthropiques"	"Alerte"	
"104805"	"Hydrocharitaceae"	"Grand lagarosiphon, Lagarosiphon élevé, Élodée à feuilles alternes"	"Lagarosiphon major (Ridl.) Moss, 1928"	"Lagarosiphon major (Ridl.) Moss, 1928"	"mi-XXe (1960)"	"Afrique"	"Eaux courantes ou stagnantes"	"Emergente"	
"719104"	"Lentibulariaceae"	"Grassette à fleurs hirsutes, Grassette à fleurs poilues"	"Pinguicula hirtiflora Ten., 1811"	"Pinguicula hirtiflora Ten., 1811"	"fin-XXe (1998)"	"Bassin méditerranéen"	"Marais, tourbières, tufières"	"Emergente"	
"89211"	"Aizoaceae"	"Griffe de sorcière, Ficoïde à feuilles en sabre"	"Carpobrotus acinaciformis (L.) L.Bolus, 1927"	"Carpobrotus acinaciformis (L.) L.Bolus, 1927"	"déb-XIXe"	"Afrique"	"Côtes rocheuses et falaises ; Dunes côtières et plages de sable ; Milieux anthropiques"	"Majeure"	
"89212"	"Aizoaceae"	"Griffe de sorcière, Ficoide doux, Figuier des Hottentots"	"Carpobrotus edulis (L.) N.E.Br., 1926"	"Carpobrotus edulis (L.) N.E.Br., 1926"	"déb-XIXe"	"Afrique"	"Côtes rocheuses et falaises ; Dunes côtières et plages de sable ; Milieux anthropiques"	"Majeure"	
"610840"	"Aizoaceae"	"Griffe de sorcière (hybride acinaciformis x edulis)"	"Carpobrotus acinaciformis x Carpobrotus edulis"	"Carpobrotus acinaciformis x Carpobrotus edulis"	"déb-XIXe"	"Afrique"	"Côtes rocheuses et falaises ; Dunes côtières et plages de sable ; Milieux anthropiques"	"Majeure"	
"100603"	"Gunneraceae"	"Gunnéra du Chili, Rhubarbe géante du Chili"	"Gunnera tinctoria (Molina) Mirb., 1805"	"Gunnera tinctoria (Molina) Mirb., 1805"	"fin-XXe"	"Amérique du Sud"	"Milieux anthropiques ; Prairies humides"	"Prévention"	
"100712"	"Proteaceae"	"Hakéa à feuilles de saule"	"Hakea salicifolia (Vent.) B.L.Burtt, 1941"	"Hakea salicifolia (Vent.) B.L.Burtt, 1941"	"déb-XXe"	"Océanie"	"Forêts et maquis"	"Emergente"	
"100714"	"Proteaceae"	"Hakéa soyeux"	"Hakea sericea Schrad. & J.C.Wendl., 1798"	"Hakea sericea Schrad. & J.C.Wendl., 1798"	"déb-XXe"	"Océanie"	"Forêts et maquis"	"Emergente"	
"85068"	"Amaranthaceae"	"Halime, Arroche halime"	"Atriplex halimus L., 1753"	"Atriplex halimus L., 1753"	"Non connue"	"Afrique"	"Berges et ripisylves ; Côtes rocheuses et falaises ; Dunes côtières et plages de sable ; Milieux anthropiques ; Prairies humides ; Prairies, pelouses sèches et garrigues"	"Majeure"	
"101056"	"Asteraceae"	"Hélianthe vivace"	"Helianthus x laetiflorus Pers., 1807 [H. pauciflorus × H. tuberosus]"	"Helianthus x laetiflorus Pers., 1807"	"Non connue"	"Amérique du Nord"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Majeure"	
"101141"	"Heliotropiaceae"	"Héliotrope de Curaçao"	"Heliotropium curassavicum L., 1753"	"Heliotropium curassavicum L., 1753"	"Non connue"	"Amérique du Sud"	"Berges et ripisylves ; Dunes côtières et plages de sable ; Milieux anthropiques"	"Alerte"	
"81831"	"Amaranthaceae"	"Herbe à alligator"	"Alternanthera philoxeroides (Mart.) Griseb., 1879"	"Alternanthera philoxeroides (Mart.) Griseb., 1879"	"fin-XXe (1971)"	"Amérique du Sud"	"Berges et ripisylves ; Eaux courantes ou stagnantes ; Milieux agricoles ; Milieux anthropiques ; Prairies humides"	"Emergente"	
"84251"	"Apocynaceae"	"Herbe à la ouate, Herbe aux perruches, Asclépiade de Syrie"	"Asclepias syriaca L., 1753"	"Asclepias syriaca L., 1753"	"XVIIIe"	"Amérique du Nord"	"Milieux agricoles ; Milieux anthropiques"	"Alerte"	
"717123"	"Poaceae"	"Herbe aux écouvillons, Herbe fontaine"	"Cenchrus setaceus (Forssk.) Morrone, 2010 [syn. Pennisetum setaceum (Forssk.) Chiov., 1923]"	"Cenchrus setaceus (Forssk.) Morrone, 2010"	"Non connue"	"Afrique"	"Forêts et maquis ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Alerte"	
"92572"	"Poaceae"	"Herbe de la pampa, Roseau à plumes"	"Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn., 1900"	"Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn., 1900"	"mi-XIXe (1857)"	"Amérique du Sud"	"Berges et ripisylves ; Côtes rocheuses et falaises ; Dunes côtières et plages de sable ; Milieux anthropiques ; Prairies humides ; Prairies, pelouses sèches et garrigues"	"Majeure"	
"20000585"	"Poaceae"	"Herbe des Andes, Herbe de la pampa pourpre"	"Cortaderia jubata (Lemoine ex Carrière) Stapf"	"Cortaderia jubata (Lemoine ex Carrière) Stapf"	"A priori absente"	"Amérique du Sud"	"Berges et ripisylves ; Dunes côtières et plages de sable ; Forêts et maquis ; Milieux anthropiques"	"Prévention"	
"101503"	"Pontederiaceae"	"Hétéranthère réniforme"	"Heteranthera reniformis Ruiz & Pav., 1798"	"Heteranthera reniformis Ruiz & Pav., 1798"	"fin-XXe (1989)"	"Amérique du Sud"	"Berges et ripisylves ; Eaux courantes ou stagnantes ; Marais, tourbières, tufières ; Milieux agricoles"	"Alerte"	
"103030"	"Cannabaceae"	"Houblon du Japon"	"Humulus japonicus Siebold & Zucc., 1846 [syn. Humulus scandens (Lour.) Merr., 1935]"	"Humulus japonicus Siebold & Zucc., 1846"	"fin-XIXe (1881)"	"Asie"	"Berges et ripisylves ; Forêts et maquis ; Milieux agricoles ; Milieux anthropiques"	"Alerte"	
"103139"	"Araliaceae"	"Hydrocotyle fausse renoncule, Hydrocotyle à feuilles de renoncule"	"Hydrocotyle ranunculoides L.f., 1782"	"Hydrocotyle ranunculoides L.f., 1782"	"XXe (1987)"	"Amérique du Nord"	"Berges et ripisylves ; Eaux courantes ou stagnantes"	"Prévention"	
"103684"	"Convolvulaceae"	"Ipomée des Indes, Ipomée d'Inde, Volubilis bleu"	"Ipomoea indica (Burm.) Merr., 1917"	"Ipomoea indica (Burm.) Merr., 1917"	""	"Amérique du Sud"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Alerte"	
"454932"	"Pontederiaceae"	"Jacinthe d'eau"	"Pontederia crassipes Mart., 1823 [syn. Eichhornia crassipes (Mart.) Solms, 1883]"	"Pontederia crassipes Mart., 1823"	"déb-XXe (1930)"	"Amérique du Sud"	"Berges et ripisylves ; Eaux courantes ou stagnantes ; Marais, tourbières, tufières"	"Alerte"	
"104353"	"Juncaceae"	"Jonc grêle, Jonc fin"	"Juncus tenuis Willd., 1799"	"Juncus tenuis Willd., 1799"	"déb-XIXe (1824)"	"Amérique du Nord"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques ; Prairies humides"	"Alerte"	
"612513"	"Onagraceae"	"Jussie à grandes fleurs, Ludwigie à grandes fleurs"	"Ludwigia grandiflora (Michx.) Greuter & Burdet, 1987 [Ludwigia grandiflora subsp. hexapetala (Hook. & Arn.) G.L.Nesom & Kartesz, 2000]"	"Ludwigia grandiflora subsp. hexapetala (Hook. & Arn.) G.L.Nesom & Kartesz, 2000"	"déb-XIXe (1823)"	"Amérique du Sud"	"Berges et ripisylves ; Eaux courantes ou stagnantes ; Prairies humides"	"Emergente"	
"612514"	"Onagraceae"	"Jussie rampante"	"Ludwigia peploides (Kunth) P.H.Raven, 1963 [Ludwigia peploides subsp. montevidensis (Spreng.) P.H.Raven, 1964]"	"Ludwigia peploides subsp. montevidensis (Spreng.) P.H.Raven, 1964"	"déb-XIXe (1823)"	"Amérique du Sud"	"Berges et ripisylves ; Eaux courantes ou stagnantes ; Prairies humides"	"Majeure"	
"160174"	"Crassulaceae"	"Kalanchoé, Kalanchoé de Delagoa"	"Kalanchoe delagoensis Eckl. & Zeyh., 1837"	"Kalanchoe delagoensis Eckl. & Zeyh., 1837"	"Non connue"	"Afrique orientale et australe"	"Côtes rocheuses et falaises ; Milieux anthropiques"	"Alerte"	
"717120"	"Poaceae"	"Kikuyu, Pennisetum clandestin"	"Cenchrus clandestinus (Hochst. ex Chiov.) Morrone, 2010 [syn. Pennisetum clandestinum C.F. Hochstetter ex E. Chiovenda ; Kikuyuochloa clandestina (Hochst. ex Chiov.) H.Scholz, 2006]"	"Cenchrus clandestinus (Hochst. ex Chiov.) Morrone, 2010"	"Non connue"	"Afrique"	"Dunes côtières et plages de sable ; Milieux agricoles ; Milieux anthropiques"	"Emergente"	
"532918"	"Fabaceae"	"Kudzu, Nepalem, Vigne japonaise, Puéraire hérissée"	"Pueraria montana var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep, 1992 [syn. Pueraria hirsuta (Thunb.) C.K.Schneid., 1907]"	"Pueraria montana var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep, 1992"	"/"	"Asie"	"Forêts et maquis ; Milieux agricoles ; Milieux anthropiques ; Prairies humides"	"Prévention"	
"447733"	"Araceae"	"Laitue d'eau"	"Pistia stratiotes L., 1753"	"Pistia stratiotes L., 1753"	"fin-XXe (1992)"	"Amérique du Sud"	"Eaux courantes ou stagnantes"	"Emergente"	
"612629"	"Asteraceae"	"Lampourde d'Italie, Lampourde à gros fuits"	"Xanthium orientale subsp. italicum (Moretti) Greuter, 2003 [syn. Xanthium strumarium subsp. italicum (Moretti) D.Löve, 1976]"	"Xanthium orientale subsp. italicum (Moretti) Greuter, 2003"	"mi-XIXe"	"Amérique du Nord"	"Berges et ripisylves ; Dunes côtières et plages de sable ; Milieux agricoles ; Milieux anthropiques"	"Modérée"	
"130491"	"Asteraceae"	"Lampourde épineuse"	"Xanthium spinosum L., 1753"	"Xanthium spinosum L., 1753"	"XVIIe"	"Amérique du Sud"	"Milieux agricoles ; Milieux anthropiques"	"Modérée"	
"137097"	"Asteraceae"	"Lampsane intermédiaire"	"Lapsana communis subsp. intermedia (M.Bieb.) Hayek, 1931"	"Lapsana communis subsp. intermedia (M.Bieb.) Hayek, 1931"	""	"Bassin méditerranéen"	"Forêts et maquis ; Milieux agricoles ; Milieux anthropiques ; Prairies humides"	"Majeure"	
"851942"	"Verbenaceae"	"Lantanier, Viorne américaine"	"Lantana strigocamara R.W.Sanders, 2006 [syn. Lantana x strigocamara R.W.Sanders, 2006]"	"Lantana strigocamara R.W.Sanders, 2006"	""	"Amérique du Sud"	"Côtes rocheuses et falaises ; Milieux anthropiques"	"Alerte"	
"116089"	"Rosaceae"	"Laurier-cerise, Laurier-palme"	"Prunus laurocerasus L., 1753"	"Prunus laurocerasus L., 1753"	"mi-XVIe (1560)"	"Asie"	"Berges et ripisylves ; Forêts et maquis"	"Alerte"	
"105433"	"Araceae"	"Lentille d'eau minuscule"	"Lemna minuta Kunth, 1816"	"Lemna minuta Kunth, 1816"	"mi-XXe (1965)"	"Amérique du Sud"	"Eaux courantes ou stagnantes"	"Emergente"	
"20000588"	"Fabaceae"	"Lespédèze de Chine, Lespédéza soyeux"	"Lespedeza cuneata G.Don"	"Lespedeza cuneata G.Don"	"A priori absente"	"Asie"	"Berges et ripisylves ; Forêts et maquis"	"Prévention"	
"94560"	"Asteraceae"	"Lierre d'Allemagne"	"Delairea odorata Lem., 1844 [syn. Senecio mikanioides Otto ex Walp., 1845]"	"Delairea odorata Lem., 1844"	""	"Afrique"	"Côtes rocheuses et falaises ; Milieux agricoles"	"Emergente"	
"106252"	"Linderniaceae"	"Lindernie fausse-gratiole, Fausse gratiole"	"Lindernia dubia (L.) Pennell, 1935"	"Lindernia dubia (L.) Pennell, 1935"	"mi-XIXe (1850)"	"Amérique du Nord"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Alerte"	
"106789"	"Fabaceae"	"Lupin de Russell [Lupin à folioles nombreuses]"	"Lupinus polyphyllus Lindl., 1827 [Lupinus x regalis Bergmans, 1924]"	"Lupinus polyphyllus Lindl., 1827"	"déb-XIXe (1826)"	"Amérique du Nord"	"Forêts et maquis ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Prévention"	
"107575"	"Fabaceae"	"Luzerne en arbre, Luzerne arborescente"	"Medicago arborea L., 1753"	"Medicago arborea L., 1753"	""	"Bassin méditerranéen"	"Côtes rocheuses et falaises ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Majeure"	
"106965"	"Solanaceae"	"Lyciet commun"	"Lycium barbarum L., 1753"	"Lycium barbarum L., 1753"	""	""	""	"Emergente"	
"106966"	"Solanaceae"	"Lyciet de Chine"	"Lycium chinense Mill., 1768"	"Lycium chinense Mill., 1768"	""	""	""	"Emergente"	
"106969"	"Solanaceae"	"Lyciet d'Europe"	"Lycium europaeum L., 1753"	"Lycium europaeum L., 1753"	""	""	""	"Emergente"	
"20000589"	"Lygodiaceae"	"Lygodium japonais, Fougère grimpante du Japon"	"Lygodium japonicum (Thunb.) Sw."	"Lygodium japonicum (Thunb.) Sw."	"A priori absente"	"Asie"	"Berges et ripisylves ; Forêts et maquis ; Marais, tourbières, tufières ; Milieux anthropiques"	"Prévention"	
"85763"	"Berberidaceae"	"Mahonia à feuilles de houx, Faux houx"	"Berberis aquifolium Pursh, 1814 [syn. Mahonia aquifolium (Pursh) Nutt., 1818]"	"Berberis aquifolium Pursh, 1814"	"déb-XIXe (1822)"	"Amérique du Nord"	"Forêts et maquis ; Milieux anthropiques"	"Alerte"	
"111823"	"Asteraceae"	"Marguerite du Cap, Dimorphoteca blanc, Ostéosperme blanc"	"Osteospermum ecklonis (DC.) Norl., 1943"	"Osteospermum ecklonis (DC.) Norl., 1943"	""	"Afrique"	""	"Alerte"	
"611021"	"Marsileaceae"	"Marsilée de Drumond, Nardou, Trèfle d'eau de Drummond"	"Marsilea drummondii A.Braun, 1852"	"Marsilea drummondii A.Braun, 1852"	""	"Océanie"	"Eaux courantes ou stagnantes ; Milieux anthropiques"	"Emergente"	
"107446"	"Asteraceae"	"Matricaire fausse-camomille, Matricaire discoïde"	"Matricaria discoidea DC., 1838 [syn. Chamomilla suaveolens (Pursh) Rydb., 1916]"	"Matricaria discoidea DC., 1838"	"mi-XIXe (1860)"	"Asie"	"Milieux agricoles ; Milieux anthropiques ; Prairies humides"	"Modérée"	
"20000092"	"Poaceae"	"Microstégie en osier, Herbe à échasses japonaise"	"Microstegium vimineum (Trin.) A.Camus, 1922"	"Microstegium vimineum (Trin.) A.Camus, 1922"	"A priori absente"	"Asie"	"Berges et ripisylves ; Forêts et maquis ; Milieux anthropiques ; Prairies humides"	"Prévention"	
"112130"	"Poaceae"	"Millet des rizières, Panic à fleurs dichotomes, Panic dichotome"	"Panicum dichotomiflorum Michx., 1803"	"Panicum dichotomiflorum Michx., 1803"	"Non connue"	"Amérique du Nord"	"Berges et ripisylves"	"Alerte"	
"79710"	"Fabaceae"	"Mimosa à feuilles de saule, Mimosa bleuâtre"	"Acacia saligna (Labill.) H.L.Wendl., 1820 [syn. Acacia cyanophylla Lindl., 1839]"	"Acacia saligna (Labill.) H.L.Wendl., 1820"	"XIXe (1830)"	"Océanie"	"Dunes côtières et plages de sable ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Alerte"	
"79698"	"Fabaceae"	"Mimosa chenille, Acacia doré de Sydney, Mimosa à longues feuilles"	"Acacia longifolia (Andrews) Willd., 1806"	"Acacia longifolia (Andrews) Willd., 1806"	"mi-XIXe (1852)"	"Océanie"	"Berges et ripisylves ; Côtes rocheuses et falaises ; Dunes côtières et plages de sable ; Forêts et maquis ; Milieux anthropiques"	"Alerte"	
"79691"	"Fabaceae"	"Mimosa d'hiver, Mimosa argenté, Mimosa des fleuristes, Mimosa de Bormes"	"Acacia dealbata Link, 1822"	"Acacia dealbata Link, 1822"	"mi-XIXe (1841)"	"Océanie"	"Berges et ripisylves ; Dunes côtières et plages de sable ; Forêts et maquis ; Milieux anthropiques"	"Majeure"	
"79706"	"Fabaceae"	"Mimosa doré, Acacia doré"	"Acacia pycnantha Benth., 1842"	"Acacia pycnantha Benth., 1842"	"fin-XIXe (1880)"	"Océanie"	"Dunes côtières et plages de sable ; Milieux anthropiques"	"Alerte"	
"79707"	"Fabaceae"	"Mimosa résineux, Mimosa des quatre saisons, Mimosa d'été"	"Acacia retinodes Schltdl., 1847"	"Acacia retinodes Schltdl., 1847"	"fin-XIXe (1871)"	"Océanie"	"Dunes côtières et plages de sable ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Emergente"	
"717180"	"Phrymaceae"	"Mimule tacheté"	"Erythranthe guttata (Fisch. ex DC.) G.L.Nesom, 2012 [syn. Mimulus guttatus Fisch. ex DC., 1813]"	"Erythranthe guttata (Fisch. ex DC.) G.L.Nesom, 2012"	"déb-XIXe (1824)"	"Amérique du Nord"	"Berges et ripisylves ; Eaux courantes ou stagnantes ; Milieux anthropiques ; Prairies humides"	"Emergente"	
"92222"	"Commelinaceae"	"Misère asiatique, Comméline commune"	"Commelina communis L., 1753"	"Commelina communis L., 1753"	"mi-XXe (1960s)"	"Asie"	"Berges et ripisylves ; Forêts et maquis ; Milieux agricoles ; Milieux anthropiques"	"Alerte"	
"124089"	"Solanaceae"	"Morelle à feuilles de coqueret"	"Solanum physalifolium Rusby, 1895"	"Solanum physalifolium Rusby, 1895"	""	"Amérique du Sud"	""	"Alerte"	
"124020"	"Solanaceae"	"Morelle de Buenos Aires"	"Solanum bonariense L., 1753"	"Solanum bonariense L., 1753"	""	"Amérique du Sud"	""	"Alerte"	
"124025"	"Solanaceae"	"Morelle faux chénopode, Morelle grêle, Morelle sublobée"	"Solanum chenopodioides Lam., 1794 [syn. Solanum sublobatum Willd. ex Roem. & Schult., 1819]"	"Solanum chenopodioides Lam., 1794"	"XVIème siècle"	"Amérique du Sud"	"Berges et ripisylves ; Marais, tourbières, tufières ; Milieux agricoles ; Milieux anthropiques"	"Modérée"	
"124036"	"Solanaceae"	"Morelle jaune, Morelle à feuilles de chalef"	"Solanum elaeagnifolium Cav., 1795"	"Solanum elaeagnifolium Cav., 1795"	"XXe (1967)"	"Amérique du Nord"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Alerte"	
