"id_unique","cd_ref","lb_nom","N°_Taxinomique_BDNFF","N°_Nomenclatural_BDNFF","code_CATMINAT","NOM_SCIENTIFIQUE","TYPE_BIOLOGIQUE","indicat_phytoscio_caract","caract_eco_hab_optimal","INDICATION_DIFFERENTIELLE_1","INDICATION_DIFFERENTIELLE_2","Lichtzahl","Temperaturzahl","Kontinentalitat","Feuchtzahl","Reaktionszahl","rang_taxinomique","CHOROLOGIE","inflorescence","sexualité","ordre_maturation","pollinisation","fruit","dissémination","couleur_fleur","macule","floraison","type_ligneux","Hauteur_végétative_maximum (m)","MODELE ARCHITECTURAL","FORMATION_VEGETALE","INDICATION_CARACTERISTIQUE_TRANSGRESSIVE","INDICATION_DIFFERENTIELLE_3","Lumière","Température","Continentalité","Humidité_atmosphérique","Humidité_édaphique","Réaction_du_sol_(pH)","Niveau_trophique","Salinité","Texture","Matière_organique","Nutrients","Salz","CLASSE_(-opsida)","SUBCLASSE_(-idae)","Clade_intermédiaire","SUPERORDRE_(-anae)","Clade_intermédiaire_1","Clade_intermédiaire_2","Clade_intermédiaire_3","ORDRE_(-ales)","FAMILLE_(-aceae)","numSpA","numSpB","numSpH","nomA","nomB","nomH","Life strategy"
"1180",113294,"Phyla nodiflora","5707","49119","12/1.2.2.2.2","Phyla nodiflora (L.) Greene, 1899","hsto","Menthion cervinae Braun–Blanquet 1931 ex Moor 1937","prairies hydrophiles, méditerranéennes, pâturées",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","subtropical","glomérules spiciformes","hermaphrodite",NULL,"entomogame","capsule","épizoochore","bleu, rose",NULL,"6-10",NULL,"0.1","Bell","hémicryptophytaie",NULL,NULL,8,8,3,7,8,7,5,0,2,8,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Lamiales","Verbenaceae",0,0,12031,NULL,NULL,"Lippia nodiflora",NULL
"1181",113305,"Phyllodoce caerulea","2669","49141","14/4.0.3.0.2","Phyllodoce caerulea (L.) Bab., 1843","cfru-semp","Phyllodoco caeruleae–Vaccinion uliginosi Nordhagen 1936","landes hygrophiles boréales à montagnardes, sur tourbière minéralisée",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","circumboréal","ombelle simple","hermaphrodite",NULL,"entomogame","capsule","barochore","bleu",NULL,"6-8","sous-arbrisseau","0.3","Bell","parvochaméphytaie",NULL,NULL,8,4,4,8,8,2,1,0,1,9,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Ericales","Ericaceae",0,0,4348,NULL,NULL,"Phyllodoce caerulea",NULL
"1182",113329,"Physalis peruviana","13248","49153","13/27.","Physalis peruviana L., 1763","Heri","Artemisietea vulgaris Lohmeyer, Preising & Tüxen in Tüxen 1950 ex von Rochow 1951","friches vivaces mésoxérophiles européennes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","subtropical","cyme unipare hélicoïde","hermaphrodite",NULL,"entomogame","baie","endozoochore",NULL,NULL,NULL,NULL,"1","Attims","hémicryptophytaie",NULL,NULL,7,6,4,5,5,5,7,0,4,1,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Solanales","Solanaceae",0,0,15085,NULL,NULL,"Physalis peruviana",NULL
"1183",113332,"Physalis viscosa","5564","75723","13/27.","Physalis viscosa L., 1753","hsto","Artemisietea vulgaris Lohmeyer, Preising & Tüxen in Tüxen 1950 ex von Rochow 1951","friches vivaces mésoxérophiles européennes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","introduit (Amér.)","cyme unipare hélicoïde","hermaphrodite",NULL,"entomogame","baie","endozoochore",NULL,NULL,NULL,NULL,NULL,"Attims","hémicryptophytaie",NULL,NULL,7,8,3,5,5,5,7,0,3,3,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Solanales","Solanaceae",0,0,15353,NULL,NULL,"Physalis viscosa *",NULL
"1184",113342,"Physocarpus opulifolius","4764","49174","15/4.","Physocarpus opulifolius (L.) Maxim., 1879","b-cad","σb Rubo ulmifolii–Rosetea caninae Julve 2025","buissons d'arbrisseaux médio-européens, planitiaires à montagnards",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","introduit (Amér. du nord or.)","corymbe","hermaphrodite",NULL,"entomogame","akène","barochore","blanc",NULL,NULL,"arbrisseau","3","Leeuwenberg","nanophanérophytaie",NULL,NULL,8,6,5,5,5,7,4,0,4,3,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Rosales","Rosaceae",0,12587,0,NULL,"Physocarpus opulifolius B",NULL,NULL
"1185",113346,"Physospermum cornubiense","257","49179","05/1.0.1","Physospermum cornubiense (L.) DC., 1830","gtub","Adenostyletalia alliariae G. & J. Braun–Blanquet 1931","mégaphorbiaies subalpines d'Europe occidentale",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","européen méridional","ombelle d'ombellules","hermaphrodite",NULL,"entomogame","akène","barochore","blanc",NULL,"6-8",NULL,NULL,"Leeuwenberg","hémicryptophytaie",NULL,NULL,7,2,3,6,6,6,5,0,2,4,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Apiales","Apiaceae",0,0,10419,NULL,NULL,"Physospermum cornubiense",NULL
"1186",113367,"Phyteuma charmelii","1922","49200","08/2.2.1","Phyteuma charmelii Vill., 1787","hros","Potentilletalia caulescentis Braun–Blanquet in Braun–Blanquet & Jenny 1926","lithophytes des dalles en pente de falaises basophiles, orophiles",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","orophyte méridional","capitule simple","hermaphrodite",NULL,"entomogame","capsule","barochore","bleu",NULL,"6-7",NULL,"0.2","Corner","hémicryptophytaie",NULL,NULL,8,2,5,5,5,8,3,0,8,1,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Campanulaceae",0,0,2901,NULL,NULL,"Phyteuma charmelii",NULL
"1187",113369,"Phyteuma cordatum","1923","49204","08/2.2.1.0.11","Phyteuma cordatum Balb., 1809","grhi","Saxifragion callosae (Rioux & Quézel 1949) Quézel 1965","lithophytes héliophiles des replats de falaises basophiles, orophiles, ligures",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","orophyte alpien mérid.","capitule simple","hermaphrodite",NULL,"entomogame","capsule","barochore","bleu, blanc",NULL,"7-8",NULL,NULL,"Chamberlain","hémicryptophytaie",NULL,NULL,7,2,7,5,5,8,3,0,8,1,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Campanulaceae",0,0,10600,NULL,NULL,"Phyteuma cordatum",NULL
"1188",113376,"Phyteuma gallicum","1924","49211","12/1.1.2.0.1","Phyteuma gallicum Rich.Schulz, 1904","grhi","Triseto flavescentis–Bistortion officinalis Braun–Blanquet & Tüxen 1943 ex Marschall 1947","prairies mésohydriques, fauchées, subalpines à montagnardes supérieures",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","orophyte auvergnat","capitule simple","hermaphrodite",NULL,"entomogame","capsule","barochore","bleu",NULL,NULL,NULL,"0.7","Chamberlain","hémicryptophytaie",NULL,NULL,5,6,3,6,5,6,5,0,2,3,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Campanulaceae",0,0,12742,NULL,NULL,"Phyteuma gallicum",NULL
"1189",113381,"Phyteuma hemisphaericum","1927","49221","08/2.1.1","Phyteuma hemisphaericum L., 1753","hces","Androsacetalia argenteae Braun–Blanquet in Meier & Braun–Blanquet 1934","lithophytes des replats de falaises européennes, acidophiles, subalpines à alpines",NULL,NULL,"8","2","4","5","3","esp","orophyte méridional","capitule simple","hermaphrodite",NULL,"entomogame","capsule","barochore","bleu",NULL,"7-8",NULL,NULL,"Corner","hémicryptophytaie",NULL,NULL,8,2,5,6,4,3,2,0,8,1,"1","0","Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Campanulaceae",0,0,2895,NULL,NULL,"Phyteuma hemisphaericum",NULL
"1190",435938,"Tortula subulata var. subinermis","B3363","B532","inconnu","Tortula subulata Hedw. var. subinermis (Bruch & Schimp.) Wilson ","C, E",NULL,NULL,NULL,NULL,"5","7","4","6","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1191",113388,"Phyteuma nigrum","1930","49237","12/1.1.2.0.1","Phyteuma nigrum F.W.Schmidt, 1793","grhi","Triseto flavescentis–Bistortion officinalis Braun–Blanquet & Tüxen 1943 ex Marschall 1947","prairies mésohydriques, fauchées, subalpines à montagnardes supérieures",NULL,NULL,"7","4","4","5","5","esp","européen","capitule simple","hermaphrodite",NULL,"entomogame","capsule","barochore","bleu",NULL,NULL,NULL,"0.6","Chamberlain","hémicryptophytaie","Mercurialietalia perennis Gillet 1986 ex Julve 1993",NULL,6,4,4,7,5,5,4,0,3,3,"4","0","Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Campanulaceae",0,0,2908,NULL,NULL,"Phyteuma nigrum",NULL
"1192",113392,"Phyteuma ovatum","1932","49256","12/1.1.2.0.1","Phyteuma ovatum Honck., 1782","Grhi","Triseto flavescentis–Bistortion officinalis Braun–Blanquet & Tüxen 1943 ex Marschall 1947","prairies mésohydriques, fauchées, subalpines à montagnardes supérieures",NULL,NULL,"7","3","4","6","7","esp","orophyte méridional","capitule simple","hermaphrodite",NULL,"entomogame","capsule","barochore","bleu",NULL,"7-8",NULL,"1","Chamberlain","hémicryptophytaie",NULL,NULL,7,3,4,7,5,6,5,0,3,3,"6","0","Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Campanulaceae",0,0,2907,NULL,NULL,"Phyteuma ovatum",NULL
"1193",113397,"Phyteuma pyrenaicum","1933","49262","12/1.1.2.0.1.1","Phyteuma pyrenaicum Rich.Schulz, 1904","Heri","Rhinantho pumili–Trisetenion flavescentis de Foucault 2016","prairies mésohydriques, fauchées, subalpines à montagnardes supérieures, SW-européennes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","orophyte pyrénéen","capitule simple","hermaphrodite",NULL,"entomogame","capsule","barochore","bleu",NULL,NULL,NULL,"1","Chamberlain","hémicryptophytaie",NULL,NULL,7,3,3,7,5,6,5,0,3,3,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Campanulaceae",0,0,11964,NULL,NULL,"Phyteuma pyrenaicum",NULL
"1194",113406,"Phyteuma serratum","1938","49274","08/2.1.1.0.7","Phyteuma serratum Viv., 1825","grhi","Potentillion crassinerviae Gamisans 1968","lithophytes des replats de falaises européennes, acidophiles, subalpines-alpines, corso-sardes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","orophyte corse","capitule simple","hermaphrodite",NULL,"entomogame","capsule","barochore","bleu",NULL,"7-8",NULL,NULL,"Chamberlain","hémicryptophytaie",NULL,NULL,8,2,3,5,5,3,3,0,8,1,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Campanulaceae",0,0,10706,NULL,NULL,"Phyteuma serratum",NULL
"1195",113407,"Phyteuma spicatum","1939","49275","10/3.0.1","Phyteuma spicatum L., 1753","hros","Mercurialietalia perennis Gillet 1986 ex Julve 1993","sous-bois herbacés médio-européens, basophiles",NULL,NULL,"x","x","4","5","6","esp","européen","capitule simple","hermaphrodite","protandre","entomogame, autogame","capsule","barochore","bleu, blanc",NULL,NULL,NULL,"0.7","Chamberlain","hémicryptophytaie",NULL,NULL,5,5,5,5,5,6,5,0,3,3,"5","0","Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Campanulaceae",0,0,2906,NULL,NULL,"Phyteuma spicatum",NULL
"1196",113410,"Phyteuma villarsii","7496","49290","08/2.2.2","Phyteuma villarsii Rich.Schulz, 1904","hros","Potentilletalia caulescentis Braun–Blanquet in Braun–Blanquet & Jenny 1926","lithophytes des dalles en pente de falaises basophiles, orophiles",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","orophyte dauphinois","capitule simple","hermaphrodite",NULL,"entomogame","capsule","barochore","bleu",NULL,"7-8",NULL,"0.2","Corner","hémicryptophytaie",NULL,NULL,3,3,6,7,7,8,3,0,8,1,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Campanulaceae",0,0,13359,NULL,NULL,"Phyteuma villarsii",NULL
"1197",113418,"Phytolacca americana","4061","49293","13/8.0.3.0.1","Phytolacca americana L., 1753","Heri","Atropion bellae–donnae Braun–Blanquet 1930 ex Aichinger 1933","mégaphorbiaies pionnières de clairières basophiles, médio-européennes, mésoeutrophiles, mésohydriques",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","cosmopolite","racème simple","hermaphrodite",NULL,"entomogame","baie","endozoochore","blanc, rose",NULL,"6-9",NULL,"2.5","Leeuwenberg","hémicryptophytaie",NULL,NULL,6,6,4,6,5,7,7,0,2,2,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Rosales","Rosaceae",0,0,942,NULL,NULL,"Phytolacca americana",NULL
"1198",113420,"Phytolacca dioica","4062","49295","16/10.","Phytolacca dioica L., 1762","a-semp","σa Crataego monogynae–Coryletea avellanae Julve 2023","grpts de petits arbres surtout endozoochores et polyarchiques, dilués en sous-bois des forêts ou en écotones de lisières stabilisées en limite de la forêt climacique.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","introduit (Amér. du sud)","racème simple","hermaphrodite",NULL,"entomogame","baie","endozoochore",NULL,NULL,NULL,"petit arbre","12","Scarrone","parvophanérophytaie",NULL,NULL,8,8,5,5,5,6,4,0,3,3,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Caryophyllanae","Eudicots","Eudicots","Eudicots","Caryophyllales","Phytolaccaceae",12717,0,0,"Phytolacca dioica A",NULL,NULL,NULL
"1199",113432,"Picea abies","30280","75288","17/1.","Picea abies (L.) H.Karst., 1881","A-semp","σA Pino cembrae–Piceetea abietis Julve 1993","associations arborescentes climaciques des forêts sempervirentes aciculifoliées boréo-subalpines de l'Europe occidentale, sur sols mésotrophes",NULL,NULL,"-5","3","6","x","x","esp","européen","cône","monoïque",NULL,"anémogame","cône","anémochore",NULL,NULL,NULL,"grand arbre","68","Rauh/Massart","magnophanérophytaie",NULL,NULL,7,3,5,6,5,4,5,0,3,5,"x","0","Pinopsida","Pinidae",NULL,NULL,NULL,NULL,NULL,"Pinales","Pinaceae",92,7006,7007,"Picea abies A","Picea abies B","Picea abies H",NULL
"1200",113444,"Picea sitchensis","7277","49318","17/5.","Picea sitchensis (Bong.) Carrière, 1855","A-semp","Tsugo heterophyllae–Thujetea plicatae Knapp 1957","associations arborescentes climaciques des forêts sempervirentes, aciculifoliées, du tempéré modal océanique montagnard NW américain",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","introduit (Amér. du nord occ.)","cône","monoïque",NULL,"anémogame","cône","anémochore","rose",NULL,"5","grand arbre","60","Rauh/Massart","magnophanérophytaie","σA Fraxino excelsioris - Quercetea roboris Gillet 1986 ex Julve 1993",NULL,7,5,5,6,5,3,5,0,3,5,NULL,NULL,"Pinopsida","Pinidae",NULL,NULL,NULL,NULL,NULL,"Pinales","Pinaceae",12674,0,0,"Picea sitchensis A",NULL,NULL,NULL
"1201",113446,"Picnomon acarna","1099","49323","13/1.0.1.0.7","Picnomon acarna (L.) Cass., 1826","test","Onopordion castellani Braun-Blanquet & O. de Bolòs 1958 corr. Rivas Martínez, Diaz, Fernandez–Gonzalez, Izco, Loidi, Lousã & Penas 2002","friches méditerranéennes occidentales",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","eurasiatique méridional","racème de capitules","hermaphrodite",NULL,"entomogame, autogame","akène","anémochore","rose",NULL,"7-9",NULL,NULL,"Stone","thérophytaie",NULL,NULL,8,9,3,1,3,8,7,0,4,3,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Asteraceae",0,0,12425,NULL,NULL,"Picnomon acarna",NULL
"1202",113474,"Picris hieracioides","1102","49351","13/27.0.1.0.1","Picris hieracioides L., 1753","Hbis","Dauco carotae subsp. carotae–Melilotion albi Görs 1966","friches bisannuelles mésohydriques, médio-européennes",NULL,NULL,"8","x","5","4","8","esp","eurasiatique","racème de capitules","hermaphrodite",NULL,"entomogame, autogame","akène","anémochore","jaune",NULL,NULL,NULL,"1.2","Stone","thérophytaie",NULL,NULL,8,5,5,4,3,8,7,0,3,1,"4","0","Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Asteraceae",0,0,3269,NULL,NULL,"Picris hieracioides",NULL
"1203",113508,"Pilosella aurantiaca","846","49402","05/1.0.2.0.1","Pilosella aurantiaca (L.) F.W.Schultz & Sch.Bip., 1862","Heri","Calamagrostion arundinaceae (Luquet 1926) Oberdorfer 1950","mégaphorbiaies subalpines à montagnardes, mésohydriques, méso-oligotrophiles, acidophiles, occidentales",NULL,NULL,"8","3","5","5~","4","esp","européen","racème de capitules","hermaphrodite",NULL,"apogame","akène","anémochore","jaune",NULL,"6-8",NULL,NULL,"Leeuwenberg","hémicryptophytaie","Tanaceto corymbosi - Bupleurion falcati subsp. falcati Julve 1993",NULL,8,2,5,5,5,4,4,0,4,4,"2","0","Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Asteraceae",0,0,3332,NULL,NULL,"Hieracium aurantiacum",NULL
"1204",3851,"Atrichum tenellum","B104","B42","10/B1.0.1.0.1.3","Atrichum tenellum (Röhl.) Bruch & Schimp.","H","Dicranellenion rufescentis","pionnier, sciaphile, humicole, acidophile, planitiaire à collinéen, sol sableux humide à inondation temporaire",NULL,NULL,"6","3","6","6","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"s"
"1205",113509,"Pilosella auriculoides","849","122695","13/26.0.1","Pilosella auriculoides (Líng) P.D.Sell & C.West, 1975","hros","Elytrigietalia intermedio–repentis Oberdorfer, Görs, Korneck, Lohmeyer, Müller, Philippi & Seibert 1967","friches vivaces rudérales pionnières, mésoxérophiles à mésohydriques, médio-européennes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","européen",NULL,"hermaphrodite",NULL,"apogame","akène","anémochore","jaune",NULL,NULL,NULL,NULL,"Leeuwenberg","hémicryptophytaie",NULL,NULL,7,4,7,4,4,5,3,0,3,2,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Asteraceae",0,0,17097,NULL,NULL,"Pilosella auriculoides *",NULL
"1206",113511,"Pilosella billyana","859","49406","10/3.0.2.0.1","Pilosella billyana (de Retz) Mateo, 1990","hros","Luzulion forsteri Julve 2006 all. nov. hoc loco","sous-bois herbacés acidophiles, planitiaires-collinéens, subatlantiques à subméditerranéens, mésothermes à thermophiles",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","orophyte pyrénéen","capitule simple","hermaphrodite",NULL,"apogame","akène","anémochore","jaune",NULL,NULL,NULL,"0.3","Corner","hémicryptophytaie",NULL,NULL,5,3,3,5,5,5,5,0,3,3,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Asteraceae",0,0,17099,NULL,NULL,"Pilosella billyana *",NULL
"1207",113513,"Pilosella caespitosa","888","49408","06/1.1.2.0.5","Pilosella caespitosa (Dumort.) P.D.Sell & C.West, 1967","hces","Molinion caeruleae Koch 1926 em. Braun–Blanquet 1947","moliniaies des prés paratourbeux médio-européens, basophiles",NULL,NULL,"8","5","6","7~","7","esp","eurasiatique","racème de capitules","hermaphrodite",NULL,"apogame","akène","anémochore","jaune",NULL,"6-8",NULL,"0.8","Corner","hémicryptophytaie",NULL,NULL,8,5,6,7,7,7,3,0,1,9,"3","0","Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Asteraceae",0,0,3331,NULL,NULL,"Hieracium caespitosum",NULL
"1208",113516,"Pilosella densiflora","955","49411","13/26.0.1","Pilosella densiflora (Tausch) Soják, 1971","hros","Elytrigietalia intermedio–repentis Oberdorfer, Görs, Korneck, Lohmeyer, Müller, Philippi & Seibert 1967","friches vivaces rudérales pionnières, mésoxérophiles à mésohydriques, médio-européennes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","européen",NULL,"hermaphrodite",NULL,"apogame","akène","anémochore","jaune",NULL,NULL,NULL,NULL,"Leeuwenberg","hémicryptophytaie",NULL,NULL,7,4,7,4,4,5,3,0,3,2,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Asteraceae",0,0,17104,NULL,NULL,"Pilosella densiflora *",NULL
"1209",113519,"Pilosella flagellaris","916","122696","13/26.0.1.0.1","Pilosella flagellaris (Willd.) P.D.Sell & C.West, 1967","hros","Convolvulo arvensis–Elytrigion repentis Görs 1966","friches vivaces rudérales pionnières, mésohydriques à mésohygrohiles, médio-européennes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","européen","racème de capitules","hermaphrodite",NULL,"apogame","akène","anémochore","jaune",NULL,"6-7",NULL,NULL,"Leeuwenberg","hémicryptophytaie",NULL,NULL,8,5,6,4,4,4,6,0,4,2,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Asteraceae",0,0,12178,NULL,NULL,"Pilosella flagellaris *",NULL
"1210",113525,"Pilosella officinarum","939","122694","08/15.","Pilosella officinarum F.W.Schultz & Sch.Bip., 1862","hsto","Koelerio glaucae–Corynephoretea canescentis Klika in Klika & Novák 1941","pelouses des sables continentaux à submaritimes, médio-européennes à méditerranéennes","Festuco valesiacae - Bromopsietea erectae Braun-Blanquet & Tüxen 1943 em. Royer 1987",NULL,NULL,NULL,NULL,NULL,NULL,"esp","eurasiatique","capitule simple","hermaphrodite",NULL,"apogame","akène","anémochore","jaune",NULL,NULL,NULL,"0.25","Corner","hémicryptophytaie",NULL,NULL,8,5,5,3,3,5,3,0,3,3,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Asteraceae",0,0,3335,NULL,NULL,"Hieracium pilosella",NULL
"1211",113527,"Pilosella peleteriana","935","49433","08/15.2.2","Pilosella peleteriana (Mérat) F.W.Schultz & Sch.Bip., 1862","hros","Koelerio macranthae–Phleetalia phleoidis Korneck 1974","pelouses arénicoles basophiles, médio-européennes occidentales, mésoxérophiles",NULL,NULL,"7","8","2","3","4","esp","eurasiatique",NULL,"hermaphrodite",NULL,"apogame","akène","anémochore","jaune",NULL,NULL,NULL,"0.25","Corner","hémicryptophytaie",NULL,NULL,7,5,5,3,3,4,3,0,4,4,"2","0","Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Asteraceae",0,0,3339,NULL,NULL,"Hieracium peleteranum",NULL
"1212",113547,"Pilularia globulifera","7437","49451","04/3.0.1.0.2","Pilularia globulifera L., 1753","grhi","Hydrocotylo vulgaris–Baldellion ranunculoidis Tüxen & Dierßen in Dierßen 1972 ex Dierßen 1975","parvogéophytaies amphibies exondables, oligotrophiles, atlantiques, planitiaires-collinéennes, acidophiles, des grèves sablonneuses ou tourbeuses",NULL,NULL,"8","6","2","9=","4","esp","eurasiatique",NULL,"monoïque",NULL,"hydrogame",NULL,"hydrochore",NULL,NULL,"6-9",NULL,"0.1","Tomlinson","hémicryptophytaie",NULL,NULL,8,6,3,9,9,4,2,0,5,9,"2","0","Polypodiopsida","Polypodiidae",NULL,NULL,NULL,NULL,NULL,"Salviniales","Marsileaceae",0,0,66,NULL,NULL,"Pilularia globulifera",NULL
"1213",113577,"Pimpinella lutea","259","49483","13/31.","Pimpinella lutea Desf., 1798","Heri","Dittrichietea viscosae Trinajstić, de Foucault & Jasprica in de Foucault & Jasprica 2019","friches vivaces rudérales méditerranéennes occidentales à centrales, mésohydriques à mésoxérophiles",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","méditerranéen central","ombelle d'ombellules","hermaphrodite",NULL,"entomogame","akène","barochore","jaune",NULL,NULL,NULL,"1.5","Leeuwenberg","hémicryptophytaie",NULL,NULL,7,8,4,4,4,8,7,0,3,2,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Apiales","Apiaceae",0,0,12090,NULL,NULL,"Pimpinella lutea",NULL
"1214",113579,"Pimpinella major","260","49489","12/1.1.1.0.2","Pimpinella major (L.) Huds., 1762","Gtub","Arrhenatherion elatioris subsp. elatioris Luquet 1926","prairies mésohydriques fauchées, mésothermes, planitiaires à montagnardes inférieures",NULL,NULL,"7","5","2","5","7","esp","européen","ombelle d'ombellules","androdioïque","protandre","entomogame","akène","barochore","blanc, rose",NULL,NULL,NULL,"1.2","Chamberlain","hémicryptophytaie",NULL,NULL,6,5,5,6,5,6,6,0,3,2,"6","0","Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Apiales","Apiaceae",0,0,2245,NULL,NULL,"Pimpinella major",NULL
"1215",113586,"Pimpinella peregrina","261","49500","13/27.0.1.0.1","Pimpinella peregrina L., 1753","Hbis","Dauco carotae subsp. carotae–Melilotion albi Görs 1966","friches bisannuelles mésohydriques, médio-européennes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","eurasiatique méridional","ombelle d'ombellules","hermaphrodite",NULL,"entomogame","akène","épizoochore","blanc",NULL,"6-7",NULL,"1.2","Chamberlain","thérophytaie",NULL,NULL,7,7,4,3,4,8,7,0,3,1,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Apiales","Apiaceae",0,0,12069,NULL,NULL,"Pimpinella peregrina",NULL
