"CD_NOM","NOM_VALIDE","NOM_VERN","INTERET_PACA","PROTECTION_PACA","CARACTERISATION_ECOLOGIQUE_.HABITAT_OPTIMAL.","floraison","changefloraison","Janvier","Février","Mars","Avril","Mai","Juin","Juillet","Août","Septembre","Octobre","Novembre","Décembre"
"95240","Doronicum plantagineum L., 1753","Doronic plantain, Doronic à feuilles de plantain","FAIBLE","PR","sous-bois herbacés médio-européens, basophiles","4-5","","","","","X","X","","","","","","",""
"134347","Eupatorium cannabinum subsp. corsicum (Req. ex Loisel.) P.Fourn., 1939","Eupatoire de Corse","MODERE","-","mégaphorbiaies subalpines, hygrophiles mésotrophiles, corso-sardes","7-8","","","","","","","","X","X","","","",""
"86135","Bombycilaena discolor (Pers.) Laínz, 1973","Bombycilène discolore, Bombycilène à deux couleurs, Cotonnière discolore, Gnaphale à deux couleurs, Micrope à deux couleurs, Micrope discolore","FAIBLE","PR",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"610577","Castroviejoa frigida (Labill.) Galbany, L.Sáez & Benedí, 2004","Castroviéjoa des régions froides, Immortelle des frimas, Immortelle des lieux froids, Hélichryse des régions froides","MODERE","-","lithophytes des replats de falaises européennes, acidophiles, subalpines-alpines, corso-sardes","7-8","","","","","","","","X","X","","","",""
"611763","Filago carpetana (Lange) Chrtek & Holub, 1963","Cotonnière de Carpétanie, Évax à fruits hirsutes, Évax à fruits velus, Évax de Cavanillès","TRES FORT","PN","annuelles des tonsures basophiles, aéromésohydriques, méso à subméditerranéennes","5-6","","","","","","X","X","","","","","",""
"98676","Filago eriocephala Guss., 1826","Cotonnière à tête laineuse","MODERE","-","annuelles des tonsures basophiles, européennes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"98704","Filago tyrrhenica Chrtek & Holub, 1963","Cotonnière tyrrhénienne, Évax de Corse, Cotonnière arrondie, Évax arrondi","FORT","PN","annuelles des tonsures subnitrophiles maritimes, thermophiles, corso-sardes","5-6","","","","","","X","X","","","","","",""
"100519","Gnaphalium uliginosum L., 1753","Gnaphale des fanges, Gnaphale des lieux humides, Gnaphale des marais, Cotonnière des marais","FORT","PR","annuelles des tonsures hygrophiles à hydrophiles, européennes","7-10","","","","","","","","X","X","X","X","",""
"101063","Helichrysum arenarium (L.) Moench, 1794","Hélichryse des sables, Immortelle des sables, Gnaphale des sables","TRES FORT","PN","pelouses des sables basophiles, mésohydriques, centro-européennes","7-8","","","","","","","","X","X","","","",""
"101080","Helichrysum italicum (Roth) G.Don, 1830","Hélichryse d'Italie, Immortelle d'Italie, Éternelle jaune","FAIBLE","PR","végétation vivace des arrière-dunes maritimes subfixées, méditerranéennes occidentales","6-7","","","","","","","X","X","","","","",""
"101080","Helichrysum italicum (Roth) G.Don, 1830","Hélichryse d'Italie, Immortelle d'Italie, Éternelle jaune","FAIBLE","PR","végétation vivace des arrière-dunes maritimes subfixées, méditerranéennes occidentales","6-7","","","","","","","X","X","","","","",""
"135254","Helichrysum italicum subsp. italicum (Roth) G.Don, 1830","Hélichryse d'Italie, Immortelle d'Italie, Éternelle jaune","FAIBLE","PR",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"135255","Helichrysum italicum subsp. microphyllum (Willd.) Nyman, 1879","Hélichryse à petites feuilles, Immortelle à petites feuilles","MODERE","PR","végétation vivace des arrière-dunes maritimes subfixées, méditerranéennes centrales","6-7","","","","","","","X","X","","","","",""
"135256","Helichrysum italicum subsp. serotinum (Boiss.) P.Fourn., 1939","Hélichryse tardive, Immortelle tardive","FORT","PR","végétation vivace des arrière-dunes maritimes subfixées, méditerranéennes occidentales","6-8","","","","","","","X","X","X","","","",""
"138672","Phagnalon rupestre subsp. annoticum (Jord. ex Burnat) Pignatti, 1969","Phagnalon des rochers d'Annot, Phagnalon d'Annot","FORT","PR","lithophytes des dalles en pente des falaises thermo à mésoméditerranéennes, du bassin occidental.","5-6","","","","","","X","X","","","","","",""
"138673","Phagnalon rupestre subsp. illyricum (H.Lindb.) Ginzb., 1921","Phagnalon d'Illyrie","MODERE","-","lithophytes des dalles en pente des falaises thermo à mésoméditerranéennes, du bassin occidental.","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"89195","Carpesium cernuum L., 1753","Carpésium penché","MAJEUR","-","mégaphorbiaies eutrophisées, planitiaires, médio-européennes plutôt occidentales","8-9","","","","","","","","","X","X","","",""
"717139","Chiliadenus glutinosus (L.) Fourr., 1869","Jasonie des rochers, Jasonie glutineuse, Chiliadène des rochers, Jasonia glutineux, Chiliadène glutineux","MODERE","-","lithophytes des dalles en pente de falaises basophiles, orophiles","7-8","","","","","","","","X","X","","","",""
"103596","Inula bifrons (L.) L., 1763","Inule changeante, Inule variable, Inule à deux faces","FAIBLE","PN",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"103598","Inula britannica L., 1753","Inule de Grande-Bretagne, Inule britannique, Inule des fleuves, Inule des fleuves, Inule d'Angleterre","TRES FORT","-",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"103626","Inula helenioides DC., 1815","Inule faux hélénium, Inule fausse aunée, Inule fausse hélénie","MAJEUR","PN",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"103628","Inula helvetica Weber, 1784","Inule de Suisse, Inule de Vaillant","MODERE","-",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"103631","Inula hirta L., 1753","Inule hérissée","MODERE","-",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"104052","Jasonia tuberosa (L.) DC., 1836","Jasonie tubéreuse, Inule tubéreuse, Jasonia tubéreux","TRES FORT","-","prairies hygrophiles, thermophiles, subméditerranéennes, des sols tassés","6-8","","","","","","","X","X","X","","","",""
"112064","Pallenis maritima (L.) Greuter, 1997","Pallénide maritime, Pallénis maritime, Astérolide maritime","MODERE","-","pelouses aérohalines des falaises maritimes méditerranéennes","5-7","","","","","","X","X","X","","","","",""
"116401","Pulicaria sicula (L.) Moris, 1843","Pulicaire de Silice, Inule de Sicile","TRES FORT","PR","annuelles des tonsures hydrophiles inondables, thermophiles, subméditerranéennes, mésotrophiles","8-9","","","","","","","","","X","X","","",""
"116405","Pulicaria vulgaris Gaertn., 1791","Pulicaire commune, Pulicaire annuelle, Herbe de Saint-Roch","TRES FORT","PN","friches annuelles hygrophiles à hydrophiles, eutrophiles pionnières, vasicoles","8-9","","","","","","","","","X","X","","",""
"130835","Adenostyles alpina subsp. briquetii (Gamisans) Tutin, 1975","Adénostyle de Briquet","FORT","-","mégaphorbiaies subalpines, hygrophiles mésotrophiles, corso-sardes","6-8","","","","","","","X","X","X","","","",""
"103987","Jacobaea aquatica (Hill) G.Gaertn., B.Mey. & Scherb., 1801","Jacobée aquatique, Séneçon aquatique","FORT","-","prairies hygrophiles fauchées septentrionales, psychro-atlantiques à centro-européennes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"610647","Jacobaea leucophylla (DC.) Pelser, 2006","Jacobée à feuilles blanchâtres, Séneçon à feuilles blanchâtres, Séneçon du Mézenc, Séneçon argenté, Herbe du Mézenc","MODERE","-","grpts vivaces des éboulis médio-européens, acidophiles, orophiles, pyrénéens","7-8","","","","","","","","X","X","","","",""
"103995","Jacobaea paludosa (L.) G.Gaertn., B.Mey. & Scherb., 1801","Jacobée des marais, Séneçon des marais","TRES FORT","PR","mégaphorbiaies planitiaires-collinéennes, mésotrophiles, neutrophiles","7-7","","","","","","","","X","","","","",""
"718238","Jacobaea paludosa subsp. angustifolia (Holub) B.Nord. & Greuter, 2006","Jacobée à feuilles étroites, Séneçon à feuilles étroites","MODERE","PR","mégaphorbiaies planitiaires-collinéennes, mésotrophiles, neutrophiles","7-7","","","","","","","","X","","","","",""
"610654","Jacobaea persoonii (De Not.) Pelser, 2006","Jacobée de Persoon, Séneçon de Persoon","MAJEUR","-","lithophytes héliophiles des replats de falaises basophiles, orophiles, ligures","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"610645","Jacobaea uniflora (All.) Veldkamp, 2006","Jacobée uniflore, Séneçon de Haller, Séneçon uniflore","MODERE","-","pelouses acidophiles alpino-alpiennes climaciques, chionophobes","7-8","","","","","","","","X","X","","","",""
"105908","Ligularia sibirica (L.) Cass., 1823","Ligulaire de Sibérie, Séneçon de Sibérie","FORT","PN","mégaphorbiaies boréales à montagnardes, mésoeutrophiles","7-8","","","","","","","","X","X","","","",""
"122558","Senecio bayonnensis Boiss., 1856","Séneçon de Bayonne","TRES FAIBLE","PN","ourlets externes acidophiles à acidoclines, atlantiques, planitiaires-collinéens","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"122592","Senecio doria L., 1759 [nom. et typ. cons.]","Séneçon doria, Herbe dorée","MODERE","-","mégaphorbiaies planitiaires-collinéennes, mésotrophiles, méditerranéennes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"122650","Senecio leucanthemifolius Poir., 1789 [nom. cons.]","Séneçon à feuilles de marguerite","FORT","PR","annuelles des tonsures maritimes thermophiles méditerranéennes orientales à irradiation centroméditerranéenne","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"122706","Senecio rosinae Gamisans, 1977","Séneçon de Rosine","TRES FORT","-","pelouses acidophiles oroméditerranéennes, des ubacs corso-sardes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"122709","Senecio ruthenensis Mazuc & Timb.-Lagr., 1854","Séneçon du Rouergue, Séneçon de Rodez","TRES FORT","PN",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"122714","Senecio sarracenicus L., 1753 [nom. et typ. cons.]","Séneçon des Sarracènes, Séneçon des cours d'eau","FORT","-","mégaphorbiaies eutrophisées, planitiaires, médio-européennes plutôt occidentales","7-8","","","","","","","","X","X","","","",""
"444454","Senecio serpentinicola Jeanm., 2003","Séneçon serpentinicole","FORT","-",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"444455","Senecio transiens (Rouy) Jeanm., 2003","Séneçon changeant","FORT","-","annuelles des tonsures subnitrophiles maritimes, thermophiles, corso-sardes","3-5","","","","X","X","X","","","","","","",""
"125892","Tephroseris balbisiana (DC.) Holub, 1973","Téphroséride de Balbis, Séneçon de Balbis, Téphroséris de Balbis","FORT","PR","mégaphorbiaies subalpines, hygrophiles, mésotrophiles, basophiles, des adrets","7-7","","","","","","","","X","","","","",""
"141542","Tephroseris helenitis subsp. candida (Corb.) B.Nord., 1978","Téphroséride candide, Séneçon blanc, Séneçon blanchâtre, Téphroséris blanc","MODERE","-","pelouses aérohalines fermées, des hauts de falaises maritimes atlantiques mieux protégés, souvent sur des replats","5-5","","","","","","X","","","","","","",""
"141544","Tephroseris helenitis subsp. macrochaeta (Willk.) B.Nord., 1978","Téphroséride à grosses soies, Séneçon à grosses soies, Téphroséris à grosses soies","FAIBLE","PN","pelouses aérohalines fermées, des hauts de falaises maritimes atlantiques mieux protégés, souvent sur des replats","5-5","","","","","","X","","","","","","",""
"125899","Tephroseris palustris (L.) Fourr., 1868","Téphroséride des marais, Cinéraire des marais, Sénéçon des marais, Téphroséris des marais","FORT","PN","friches annuelles hygrophiles à hydrophiles, eutrophiles pionnières, vasicoles","5-7","","","","","","X","X","X","","","","",""
"85020","Atractylis cancellata L., 1753","Atractyle grillagé","TRES FORT","PN","annuelles des tonsures basophiles, aéroxérophiles, thermophiles, méditerranéennes","5-7","","","","","","X","X","X","","","","",""
"85020","Atractylis cancellata L., 1753","Atractyle grillagé","TRES FORT","PN","pelouses basophiles mésoméditerranéennes, mésoxérophiles","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"85023","Atractylis humilis L., 1753","Atractyle humble","FORT","-","pelouses basophiles mésoméditerranéennes, mésoxérophiles","7-9","","","","","","","","X","X","X","","",""
"85759","Berardia lanuginosa (Lam.) Fiori, 1904","Bérardie laineuse, Bérardie presque acaule, Bérardie, Chardon de Bérard","MODERE","PN","grpts vivaces des éboulis basophiles, alpiens, subalpins-alpins, héliophiles","7-7","","","","","","","","X","","","","",""
"88062","Carduus acicularis Bertol., 1829","Chardon à épingles, Chardon à aiguilles","MODERE","PR","friches vivaces xérophiles à mésoxérophiles, méditerranéennes à euryméditerranéennes","5-6","","","","","","X","X","","","","","",""
"88077","Carduus aurosicus Chaix, 1785","Chardon du mont Aurouse","FORT","PR","grpts vivaces des éboulis basophiles, alpiens, subalpins-alpins, héliophiles","7-8","","","","","","","","X","X","","","",""
"88092","Carduus cephalanthus Viv., 1824","Chardon à fleurs en tête","MODERE","-","pelouses aérohalines méditerranéennes, corso-sardes","6-7","","","","","","","X","X","","","","",""
"810968","Carduus crispus subsp. multiflorus (Gaudin) Franco, 1975","Chardon à fleurs nombreuses, Chardon multiflore","MODERE","-","mégaphorbiaies eutrophisées, planitiaires, médio-européennes plutôt occidentales","7-9","","","","","","","","X","X","X","","",""
"88118","Carduus fasciculiflorus Viv., 1825","Chardon à fleurs fasciculées, Chardon de Sardaigne","TRES FORT","-","friches vivaces xérophiles à mésoxérophiles, méditerranéennes à euryméditerranéennes","5-6","","","","","","X","X","","","","","",""
"88178","Carduus personata (L.) Jacq., 1776","Chardon bardane","FORT","-","mégaphorbiaies eutrophisées, montagnardes, médio-européennes plutôt orientales","7-8","","","","","","","","X","X","","","",""
"88207","Carduus tenuiflorus Curtis, 1793","Chardon à petites fleurs, Chardon à petits capitules, Chardon à capitules étroits, Chardon à fleurs ténues","FORT","-","friches vivaces thermoxérophiles euryméditerranéennes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"88207","Carduus tenuiflorus Curtis, 1793","Chardon à petites fleurs, Chardon à petits capitules, Chardon à capitules étroits, Chardon à fleurs ténues","FORT","-","friches vivaces mésohydriques, médio-européennes","5-6","","","","","","X","X","","","","","",""
"89145","Carlina acanthifolia All., 1773","Carline à feuilles d'acanthe, Chardousse, Cardabelle","FAIBLE","PD04","pelouses basophiles méridionales, sub/supra à oroméditerranéennes, nevado-illyriennes","7-8","","","","","","","","X","X","","","",""
"89145","Carlina acanthifolia All., 1773","Carline à feuilles d'acanthe, Chardousse, Cardabelle","FAIBLE","PD04","pelouses basophiles méridionales, sub/supraméditerranéennes, marnicoles, mésohygroclines","7-8","","","","","","","","X","X","","","",""
"132839","Carlina acanthifolia subsp. acanthifolia All., 1773","Carline à feuilles d'acanthe, Chardousse, Cardabelle","FAIBLE","PD04",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"612429","Carlina acanthifolia nothosubsp. lecoqii (Arènes) B.Bock, 2012","Carline de Lecoq","DD","PD04",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"132840","Carlina acanthifolia subsp. cynara (Pourr. ex DC.) Arcang., 1882","Carline artichaut, Carline cendrée","FAIBLE","PD04","grpts vivaces des éboulis médio-européens, acidophiles, orophiles, pyrénéens","8-9","","","","","","","","","X","X","","",""
"89164","Carlina macrocephala Moris, 1827","Carline à grosse tête, Carline à gros capitules","MODERE","-","pelouses acidophiles supra à oroméditerranéennes, corso-sardes","7-8","","","","","","","","X","X","","","",""
"89221","Carthamus caeruleus L., 1753","Carthame bleu, Onobrome bleu, Cardoncelle bleue","DD","PR","friches vivaces xérophiles à mésoxérophiles, méditerranéennes à euryméditerranéennes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"89567","Centaurea corymbosa Pourr., 1788","Centaurée en corymbe, Centaurée de la Clape","TRES FORT","PN","lithophytes des dalles basophiles, mésoméditerranéennes","6-6","","","","","","","X","","","","","",""
"89584","Centaurea dracunculifolia Dufour, 1831","Centaurée à feuilles d'estragon","TRES FORT","-","roselières et cariçaies submaritimes des vases saumâtres","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"89610","Centaurea hanryi Jord., 1847","Centaurée de Hanry","MODERE","-","lithophytes des dalles acidophiles méditerranéennes","6-7","","","","","","","X","X","","","","",""
"89610","Centaurea hanryi Jord., 1847","Centaurée de Hanry","MODERE","-","lithophytes des dalles acidophiles méditerranéennes","6-7","","","","","","","X","X","","","","",""
"89623","Centaurea jordaniana Godr. & Gren., 1850","Centaurée de Jordan, Centaurée couchée de Jordan","FAIBLE","PR","pelouses acidophiles méditerranéennes","6-7","","","","","","","X","X","","","","",""
"89623","Centaurea jordaniana Godr. & Gren., 1850","Centaurée de Jordan, Centaurée couchée de Jordan","FAIBLE","PR","pelouses acidophiles méditerranéennes","6-7","","","","","","","X","X","","","","",""
"132921","Centaurea jordaniana subsp. jordaniana Godr. & Gren., 1850","Centaurée de Jordan","FORT","PR",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"132919","Centaurea jordaniana subsp. aemilii (Briq.) Kerguélen, 1998","Centaurée d'Émile","FORT","PR","pelouses basophiles méridionales, sub/supra à oroméditerranéennes, nevado-illyriennes","6-7","","","","","","","X","X","","","","",""
"132920","Centaurea jordaniana subsp. balbisiana (Soldano) Kerguélen, 1998","Centaurée de Balbis, Centaurée couchée","TRES FORT","PR","lithophytes héliophiles des replats de falaises basophiles, orophiles, ligures","6-7","","","","","","","X","X","","","","",""
"132922","Centaurea jordaniana subsp. verguinii (Briq. & Cavill.) Kerguélen, 1998","Centaurée de Verguin","FORT","PR","lithophytes héliophiles des replats de falaises basophiles, orophiles, ligures","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"89649","Centaurea napifolia L., 1753","Centaurée à feuilles de Navet","MODERE","-","friches annuelles, méso-eutrophiles à eutrophiles, méditerranéo-atlantiques, vernales","6-7","","","","","","","X","X","","","","",""
"132966","Centaurea paniculata subsp. leucophaea (Jord.) Arcang., 1882","Centaurée blanchâtre, Centaurée gris-cendré","MODERE","-","pelouses basophiles médio-européennes occidentales, mésoxérophiles, aéromésohygrophiles, submontagnardes, généralement d'ubac","7-8","","","","","","","","X","X","","","",""
"132972","Centaurea paniculata subsp. polycephala (Jord.) Nyman, 1879","Centaurée à têtes nombreuses, Centaurée à nombreux capitules, Centaurée polycéphale","MODERE","-","pelouses basophiles méridionales, sub/supra à oroméditerranéennes, nevado-illyriennes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"89676","Centaurea pseudocineraria (Fiori) Rouy, 1904","Centaurée fausse cinéraire, Centaurée controversée, Fausse centaurée bleuâtre","TRES FORT","PN","pelouses basophiles méditerranéennes, mésoxérophiles à mésohydriques","5-6","","","","","","X","X","","","","","",""
"133010","Centaurea sphaerocephala subsp. sphaerocephala L., 1753","Centaurée à tête ronde","FORT","-",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"89716","Centaurea stoebe L., 1753","Centaurée du Rhin, Centaurée rhénane, Centaurée maculée du Rhin, Centaurée maculée rhénane","FORT","-","pelouses de la Limagne et du Forez","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"90653","Cheirolophus intybaceus (Lam.) Dostál, 1976","Cheirolophe fausse chicorée, Cheirolophe chicorée, Centaurée fausse chicorée","MODERE","-","chasmophytes de parois méditerranéennes occidentales, acidophiles, héliophiles, thermoxérophiles","7-8","","","","","","","","X","X","","","",""
"91282","Cirsium alsophilum (Pollini) Soldano, 1994","Cirse d'Allioni, Cirse des montagnes","FAIBLE","PN","mégaphorbiaies subalpines, hygrophiles, mésotrophiles, basophiles, des adrets","7-8","","","","","","","","X","X","","","",""
"133311","Cirsium creticum subsp. triumfetti (Lacaita) Werner, 1975","Cirse de Trionfetti","FORT","-","mégaphorbiaies eutrophisées, planitiaires, méditerranéennes","8-8","","","","","","","","","X","","","",""
"91353","Cirsium italicum DC., 1813","Cirse d'Italie","FORT","-","friches vivaces eutrophiles, mésohydriques, héliophiles","7-8","","","","","","","","X","X","","","",""
"91397","Cirsium richterianum Gillot, 1880","Cirse de Richter","MODERE","-","friches vivaces mésoxérophiles, médio-européennes, mésothermes","7-8","","","","","","","","X","X","","","",""
"91397","Cirsium richterianum Gillot, 1880","Cirse de Richter","MODERE","-","friches vivaces mésoxérophiles, médio-européennes, mésothermes","7-8","","","","","","","","X","X","","","",""
"91398","Cirsium rivulare (Jacq.) All., 1789","Cirse des ruisseaux, Cirse de Salzbourg","TRES FORT","-","mégaphorbiaies boréomontagnardes","6-8","","","","","","","X","X","X","","","",""
"93783","Cynara cardunculus L., 1753","Cardon, Carde, Artichaut sauvage","FORT","-","friches vivaces xérophiles, mésoméditerranéennes orientales","6-7","","","","","","","X","X","","","","",""
"104430","Jurinea humilis (Desf.) DC., 1838","Jurinée humble, Serratule naine, Jurinée naine","TRES FAIBLE","PN",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"717782","Klasea lycopifolia (Vill.) Á.Löve & D.Löve, 1961","Serratule à feuilles de lycope, Klasée à feuilles de lycope, Serratule à feuilles de chanvre d'eau","FORT","PN","prairies mésohydriques, fauchées, subalpines à montagnardes supérieures","7-7","","","","","","","","X","","","","",""
"109717","Notobasis syriaca (L.) Cass., 1825","Notobaside de Syrie, Notobasis de Syrie, Chardon de Syrie, Cirse de Syrie","TRES FORT","PR","friches annuelles, nitrophiles, thermophiles, euryméditerranéennes","6-6","","","","","","","X","","","","","",""
"110246","Onopordum acaulon L., 1763","Onoporde acaule, Onopordon acaule, Onopordon à tige courte, Onopordon sans tige","FORT","-","friches vivaces xérophiles à mésoxérophiles, méditerranéennes à euryméditerranéennes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"110253","Onopordum eriocephalum Rouy, 1897","Onoporde à tête laineuse, Onopordon à capitules laineux, Onopordon à tête laineuse","FORT","-","friches vivaces xérophiles, supraméditerranéennes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"116323","Ptilostemon casabonae (L.) Greuter, 1967","Ptilostémon de Casabona, Chardon de Casabona","MODERE","PR","friches vivaces xérophiles à mésoxérophiles, méditerranéennes à euryméditerranéennes","6-8","","","","","","","X","X","X","","","",""
"610872","Rhaponticoides alpina (L.) M.V.Agab. & Greuter, 2003","Faux rhapontic des Alpes, Centaurée australe, Centaurée des alpes","TRES FORT","PR","lithophytes héliophiles des replats de falaises basophiles, orophiles, ligures","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"612262","Rhaponticum heleniifolium subsp. heleniifolium Godr. & Gren., 1850","Rhapontic à feuilles d'hélénie, Rhapontique à feuille d'aunée, Stemmacanthe à feuilles d'hélénie, Serratule à feuilles d'hélénie","MODERE","-",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"612626","Rhaponticum heleniifolium subsp. bicknellii (Briq.) Greuter, 2003","Rhapontic de Bicknell, Rhapontique de Bicknell, Stemmacanthe de Bicknell, Serratule de Bicknell","TRES FORT","-","grpts vivaces des éboulis basophiles, alpiens, subalpins-alpins, héliophiles","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"612556","Rhaponticum scariosum subsp. scariosum Lam., 1779","Rhapontic scarieux, Stemmacanthe de Lamarck, Stemmacanthe rhapontique","DD","PN",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"120951","Saussurea discolor (Willd.) DC., 1810","Saussurée discolore, Saussurée à deux couleurs","TRES FORT","PR","pelouses basophiles arctico-alpines climaciques, chionophobes, européennes occidentales","7-8","","","","","","","","X","X","","","",""
"82571","Andryala ragusina L., 1763","Andryale de Raguse","TRES FORT","-","grpts vivaces hygrophiles des alluvions grossières euryméditerranéennes","6-10","","","","","","","X","X","X","X","X","",""
"83234","Aposeris foetida (L.) Less., 1832","Aposéride fétide, Aposéris fétide, Lampsane fétide","MODERE","-","sous-bois herbacés médio-européens, basophiles","6-7","","","","","","","X","X","","","","",""
"93036","Crepis dioscoridis L., 1763","Crépide de Dioscoride","NUL","PR","annuelles des tonsures basophiles, aéromésohydriques, méso à subméditerranéennes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"93112","Crepis praemorsa (L.) Walther, 1802","Crépide à rhizome, Crépide en rosette, Crépide rongée, Crépis rongé","MODERE","-","ourlets basophiles médio-européens, mésoxérophiles","5-6","","","","","","X","X","","","","","",""
"93122","Crepis rhaetica Hegetschw., 1839","Crépide des Alpes rhétiques, Crépide de Rhétie, Crépis de Rhétie","FAIBLE","PN","grpts vivaces des éboulis basophiles, psychrophiles, montagnards (ubacs) à alpins, héliophiles","8-9","","","","","","","","","X","X","","",""
"93140","Crepis suffreniana (DC.) J.Lloyd, 1844","Crépide de Suffren, Barkhausie de Suffren, Crépis de Suffren","MODERE","-","annuelles des tonsures basophiles, aéroxérophiles, thermophiles, méditerranéennes","5-5","","","","","","X","","","","","","",""
"93167","Crepis zacintha (L.) Loisel., 1807","Crépide de Zante, Crépis de Zante, Crépide verruqueuse","MODERE","-","annuelles des tonsures basophiles, aéromésohydriques, méso à subméditerranéennes","5-6","","","","","","X","X","","","","","",""
"100187","Geropogon hybridus (L.) Sch.Bip., 1844","Géropogon hybride, Salsifis hybride, Salsifis intermédiaire","TRES FORT","-","friches annuelles, méso-eutrophiles à eutrophiles, méditerranéo-atlantiques, vernales","5-5","","","","","","X","","","","","","",""
"101646","Hieracium armerioides Arv.-Touv., 1871","Épervière fausse armérie, Épervière faux arméria","MODERE","-","pelouses basophiles subalpines, alpiennes, mésohydriques","7-8","","","","","","","","X","X","","","",""
"101683","Hieracium axiflorum Arv.-Touv. & Briq., 1894","Épervière","MODERE","-",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"923809","Hieracium bifidum Kit. ex Hornem., 1815","Épervière bifide","MODERE","-","ourlets basophiles médio-européens, mésoxérophiles","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"717946","Hieracium canescens Link, 1822","Épervière blanchissante","MODERE","-",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"789299","Hieracium leve J.-M.Tison, 2021",,"MODERE","-",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"101789","Hieracium cenisium Arv.-Touv., 1887","Épervière du mont Cenis","MODERE","-","lithophytes des dalles en pente de falaises basophiles, orophiles","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"101820","Hieracium cichoriaceum Arv.-Touv., 1888","Épervière fausse chicorée","TRES FORT","-","pelouses acidophiles montagnardes à subalpines","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"101942","Hieracium eriophorum St.-Amans, 1801","Épervière laineuse, Épervière à poils blancs, Épervière des dunes","FAIBLE","PN","pelouses des sables basophiles, subsubmaritimes, thermo-atlantiques, mésoxérophiles","8-9","","","","","","","","","X","X","","",""
"717237","Hieracium favratii Muret ex Gremli, 1874","Épervière de Favrat, Épervière consoude, Épervière à feuilles de consoude","MODERE","-","ourlets externes basophiles à grandes herbes, alpiens méridionaux, mésoxérophiles, mésotrophiles","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
